City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
144,alice springs,-23.7,133.8833,27.75,32,94,3.6,AU,1681269542
145,tromso,69.6496,18.957,-0.35,86,0,1.03,NO,1681269323
146,rocha,-34.4833,-54.3333,19.23,69,79,3.32,UY,1681269544
147,avera,33.194,-82.5271,10.73,60,1,1.72,US,1681269544
148,east london,-33.0153,27.9116,14.37,62,98,2.25,ZA,1681269544
149,torbay,47.6666,-52.7314,2.87,71,100,0.89,CA,1681269544
150,bowen,-20.0167,148.2333,28.99,66,82,4.01,AU,1681269545
151,mocuba,-16.8392,36.9856,20.65,99,57,0.24,MZ,1681269545
152,golden,39.7555,-105.2211,21.19,20,8,2.24,US,1681269545
153,new norfolk,-42.7826,147.0587,16.62,66,79,0.89,AU,1681269546
154,olafsvik,64.8945,-23.7142,4.64,82,100,2.56,IS,1681269546
155,caravelas,-17.7125,-39.2481,23.15,96,99,2.36,BR,1681269546
156,japura,-0.3167,102.35,31.26,62,39,1.13,ID,1681269546
157,ostrovnoy,68.0531,39.5131,-3.28,89,100,6.86,RU,1681269546
158,amahai,-3.3333,128.9167,30.72,64,59,2.01,ID,1681269546
159,tual,-5.6667,132.75,28.94,71,96,3.93,ID,1681269547
160,sorong,-0.8833,131.25,29.15,73,70,2.59,ID,1681269547
161,bangkalan,-7.0455,112.7351,30.53,74,98,2.46,ID,1681269547
162,bozoum,6.3193,16.3799,22.83,71,100,3.26,CF,1681269547
163,belle fourche,44.6714,-103.8522,22.83,10,19,9.62,US,1681269547
164,lodwar,3.1191,35.5973,28.21,50,100,3.4,KE,1681269547
165,jertih,5.7336,102.4897,32.76,55,41,0.83,MY,1681269548
166,narsaq,60.9167,-46.05,0.12,88,100,0.66,GL,1681269548
167,sitka,57.0531,-135.33,3.28,71,27,2.25,US,1681269548
168,mala,-12.6581,-76.6308,23.71,85,92,3.64,PE,1681269549
169,calafell,41.2,1.5683,13.25,80,84,0.89,ES,1681269377
170,cidreira,-30.1811,-50.2056,22.88,87,91,5.92,BR,1681269549
171,petropavlovka,50.6114,105.3196,8.7,32,70,2.5,RU,1681269550
172,eyl,7.9803,49.8164,26.47,82,100,4.99,SO,1681269550
173,yulara,-25.2406,130.9889,30.68,27,100,4.07,AU,1681269550
174,mutoko,-17.397,32.2268,15.13,91,96,1.25,ZW,1681269551
175,gari,59.4307,62.3497,2.65,73,67,3.85,RU,1681269551
176,zhigalovo,54.8097,105.1578,-0.06,56,100,4.42,RU,1681269552
177,victoria,22.2855,114.1577,27.92,80,23,1.34,HK,1681269405
178,panama city,8.9936,-79.5197,27.99,74,20,3.09,PA,1681269339
179,ambanja,-13.6833,48.45,22.45,92,81,1.54,MG,1681269552
180,kailua,21.4022,-157.7394,25.27,75,100,3.58,US,1681269552
181,purpe,64.4803,76.6897,-20.95,94,94,3.44,RU,1681269552
182,waddan,29.1614,16.139,9.79,70,0,1.13,LY,1681269552
183,cherskiy,68.75,161.3,-17.08,82,87,0.43,RU,1681269553
184,tuktoyaktuk,69.4541,-133.0374,-15.97,89,100,3.78,CA,1681269553
